Rank	Brand
1	Marvel Comics
1	Legendary Pictures
1	Lucasfilm
1	Pixar
1	DC Comics
1	DreamWorks Animation
1	Bad Robot
1	Vertigo Entertainment
1	Walt Disney Animation Studios
1	Illumination Entertainment
1	Blumhouse Productions
1	Hasbro
1	Nickelodeon
1	Sony Pictures Animation
1	Walden Media
1	Blue Sky
1	Stephen King
1	MTV
1	Platinum Dunes
1	Saturday Night Live - Alumni Debuts
1	Dark Horse Comics
1	Tim Burton-Johnny Depp
1	Warner Animation Group
1	Tyler Perry
1	CBS Films
1	John Grisham
1	Robert Ludlum
1	Nicholas Sparks
1	Hanna-Barbera
1	Philip K. Dick
1	Dark Castle
1	National Lampoon
1	Disney Channel
1	Roald Dahl
1	Saturday Night Live
1	DisneyToon Studios
1	Aardman
1	Laika
1	Alan Moore
1	Amazon Studios
1	Disneynature
1	Clive Barker
1	Broken Lizard
1	Studio Ghibli
